"","Source","Title","Narrative","Date"
"5155","DNAinfo","Templestowe Pub Rallying Fellow Biz Owners In Puerto Rico Relief ...","Saturday's ""We're All in This Together"" event will raise money for Red Cross efforts in Puerto Rico. (Photo by Sgt. Jose Ahiram Diaz-Ramos/PRNG-PAO) View ...",2017-10-17
"5156","The Week Magazine","The US hospital ship Comfort is anchored off Puerto Rico, mostly ...","The USNS Comfort, a floating state-of-the-art hospital, is anchored off the coast of hurricane-ravaged Puerto Rico, with 250 hospital beds for patients in the U.S. ...",2017-10-17
"5157","POLITICO Magazine","Puerto Rico Rep. Calls Trump Comments 'Shocking'","Just before the interview starts, Jenniffer González-Colón tries four different numbers she's been trying to reach back home in Puerto Rico. She gets the same ...",2017-10-17
"5158","Philly.com","Debt restructuring must be part of hurricane aid to Puerto Rico ...","Puerto Rico's situation is not unique. Philadelphia, Detroit, and the District of Columbia have all undergone periods of financial emergency. Puerto Rico's ...",2017-10-17
"5159","AccuWeather.com","Bermuda to face downpours, rough surf as new tropical system ...","Even though the system is moving away from the Caribbean Islands, tropical moisture streaming toward it will lead to additional downpours across Puerto Rico ..",2017-10-17
"5160","KPNX 12 News TV","Red Cross volunteers share stories from Puerto Rico after Hurricane ...","Red Cross volunteers share stories from Puerto Rico after Hurricane Maria ... Nearly a month after Hurricane Maria slammed Puerto Rico and the U.S. Virgin ...",2017-10-18
"5161","WTSP 10 News","Cost of transportation hinders local Puerto Rico relief effort","A group determined to help hurricane victims in Puerto Rico has enough donated supplies to fill two shipping containers, but the cost of transporting the items to ...",2017-10-18
"5162","WDAZ","Update from local man providing hurricane relief in Puerto Rico","Update from local man providing hurricane relief in Puerto Rico ... local man is leading a team of Salvation Army workers, on the ground in Puerto Rico.",2017-10-18
"5163","Washington Examiner","Trump to meet with Puerto Rico governor about hurricane aid on ...","President Trump will meet with Puerto Rico Gov. Ricardo Rossello on Thursday to discuss a rebuilding plan after the U.S. territory was ravaged by Hurricane ...",2017-10-18
"5164","KPNX 12 News TV","Open mic event aims to raise money for Puerto Rico after Hurricane ...","It's been almost a month since Hurricane Maria made landfall on the island of Puerto Rico. Many people still have not been able to contact their friends and ...",2017-10-18
"5165","Story image for puerto rico from Chicago Sun","It's been almost a month since Hurricane Maria made landfall on the island of Puerto Rico. Many people still have not been able to contact their friends and ...","BROWN: Puerto Rican hurricane relief, one suitcase at a time",2017-10-18
"5166","Chicago Sun","BROWN: Puerto Rican hurricane relief, one suitcase at a time","SAN JUAN, Puerto Rico — American Airlines Flight 395 from O'Hare to the capitol of this hurricane-devastated island commonwealth was the least full flight I've ...",2017-10-18
"5167","Lynchburg News and Advance","Family returns to Lynchburg after finding missing members in Puerto ...","Lydia and Ronald Simerly stand for a portrait in their backyard garden, which is designed to look like Puerto Rico. Lydia Simerly's parents live on the island, and ...",2017-10-18
"5168","Washington Blade","LGBT Puerto Ricans still reeling from Hurricane Maria","Residents of La Perla, an oceanfront neighborhood in San Juan, Puerto Rico, that suffered extensive damage during Hurricane Maria, have erected handwritten ...",2017-10-18
"5169","Pocono Record","125 National Guard soldiers leaving Thursday for Puerto Rico ...","One-hundred twenty-five Buffalo-based members of the New York Army National Guard are expected to leave Thursday to help with relief efforts in Puerto Rico.",2017-10-18
"5170","My Panhandle","Local Puerto Rican Family Tells Story of Lost Contact During ...","BAY COUNTY, Fla. - A local family is still shaken after losing contact with their 80-year-old mother in Puerto Rico while Hurricane Maria battered the island.",2017-10-18
"5171","MetroWest Daily News","Puerto Rico native to collect goods Saturday in Southborough","SOUTHBOROUGH — Many people in Puerto Rico saw their lives flipped upside down after Hurricane Maria hit, including members of Sharlene Lugo's family.",2017-10-18
"5172","MTPR","Whitefish Company Wins Power Restoration Contract In Puerto Rico","A small company in Whitefish has won a major contract to restore power to Puerto Rico following widespread outages from Hurricane Maria. Nicky Ouellet ...",2017-10-18
"5173","The Weather Channel","Navy Hospital Ship Sits Mostly Empty Off Puerto Rico","In this U.S. Navy handout, the Military Sealift Command hospital ship USNS Comfort (T-AH 20) arrives on Oct. 3, 2017 in San Juan, Puerto Rico. (U.S. Air Force ...",2017-10-18
"5174","New York Times","Exclusive: Baupost's Klarman Resists Calls to Wipe Out Puerto Rico ...","BOSTON — Billionaire investor Seth Klarman on Wednesday resisted calls for Puerto Rico's debt to be wiped out and said the island's residents will be better off ...",2017-10-18
"5175","Herald","Former Waynesboro woman discusses Puerto Rico devastation","WAYNESBORO, Pa. — Bobbi (Henicle) McDonald considered Puerto Rico to be paradise when she moved there two years ago, but Hurricane Maria has left the ...",2017-10-18
"5176","AOL","Trump, Puerto Rico governor to discuss hurricane aid at White House","WASHINGTON/NEW YORK, Oct 18 (Reuters) - U.S. President Donald Trump and Puerto Rico Governor Ricardo Rossello are due to meet at the White House on ...",2017-10-18
"5177","The Conversation US","Is racial bias driving Trump's neglect of Puerto Rico?","The morning after Hurricane Maria blasted through Puerto Rico, I emailed my aunt to ask if she was safe. That was Sept. 21. I heard back from her on Oct. 10.",2017-10-18
"5178","WJLA","Puerto Rico governor to meet with Trump after administration ...","President Donald Trump and first lady Melania Trump take a walking tour with Puerto Rico Governor Ricardo Rosselló, left, and his wife Beatriz Areizaga, ...",2017-10-18
"5179","Daily Press","Langley medics deploy to Puerto Rico","A medical team from Langley Air Force Base has flown to Puerto Rico to aid hurricane victims. - Original Credit: Air Force (Staff Sgt. Natasha Stannard ...",2017-10-18
"5180","9news.com.au","Food aid sent to Puerto Rico shown rotting in skips","Food aid sent to hurricane victims in Puerto Rico is being left rotting in skips, a leading politician from the US territory has claimed. Video posted by the island's ...",2017-10-18
"5181","KEYT","SLO seeks help for Puerto Rico by working to establish sister city ...","SAN LUIS OBISPO, Calif. - People on the Central Coast continue to worry about their family in Puerto Rico nearly a month after Hurricane Maria hit the island.",2017-10-18
"5182","wtkr.com","Langley medics deploy to Puerto Rico, aid hurricane relief","JOINT BASE LANGLEY-EUSTIS, Va. – Airmen of the 633rd Medical Group departed form Langley Air Force Base, to help with hurricane relief in Puerto Rico.",2017-10-18
"5183","USA TODAY","Mississippi to take in 1200 prisoners from hurricane-scarred Puerto ...","YAZOO CITY, Miss. — About 1,200 federal prisoners from Puerto Rico will be housed at the federal correctional facility in Yazoo City. U.S. Court Clerk Arthur ...",2017-10-18
"5184","The Salem News","DOUBLE DUTY: Beverly firefighter dispatched to hurricane relief in ...","Though he just returned from the Keys at the end of September, Tamilio is preparing to head down to Puerto Rico to provide assistance to hospital staff there.",2017-10-18
"5185","WWNY TV 7","North Country Donations Continue To Go To Puerto Rico","They called and the north country answered, bringing an outpouring of donations to a Hurricane Maria Donation drive a few weeks ago in Watertown.",2017-10-18
"5186","WVTF","One Woman's Mission to Aid Puerto Rico","Tired of waiting for the federal government or the Red Cross to step in, some Virginians are stepping up – doing what they can for the people of Puerto Rico.",2017-10-18
"5187","Press of Atlantic City","Seashore Gardens supports staff in Puerto Rico relief efforts","Carmona, of Mays Landing, is one of more than 400,000 Puerto Ricans living in New Jersey, the majority of whom spent much of the past month worrying about ...",2017-10-18
"5188","Independent Journal Review","I Went to Puerto Rico and Asked the Democratic Governor if Trump ...","There has been a great need for relief in Puerto Rico after a deadly hurricane struck the island last month. The need for food, water and basic medical supplies is ...",2017-10-18
"5189","OCRegister","Surfing pastor from Dana Point visits Puerto Rico with one goal: to ...","Sean Kappauf, in Dana Point on Monday, October 16, 2017, is shown with the One ATTA Time water filtration device he delivered to the Hurricane Maria victims ...",2017-10-18
"5190","Wortfm","Freed Puerto Rican Political Prisoner Oscar López Rivera on US ...","OSCAR LÓPEZ RIVERA: The overwhelming majority of Puerto Rico is completely, completely ... Colonialism is really, really strong and alive in Puerto Rico.",2017-10-18
"5191","Voice of America","Trump, Puerto Rico Governor to Meet at White House","The White House says President Donald Trump and Puerto Rico Gov. Ricardo Rosello will meet Thursday to discuss the recovery and rebuilding effort on the ...",2017-10-18
"5192","NBCNews.com","Puerto Ricans Still Struggling Four Weeks After Hurricane Maria Hit","WASHINGTON — Four weeks since Hurricane Maria ravaged Puerto Rico, the recovery priorities are: Make sure food, water and supplies get delivered, ensure ...",2017-10-18
"5193","Fox Business","Puerto Rico's capital of San Juan to be powered by APR Energy's ...","APR Energy CEO and chairman John Campion discusses what his company is doing to help restore power in Puerto Rico, which remains largely without it after ...",2017-10-18
"5194","Washington Post","Long school break is no vacation for Puerto Rico's kids","The novelty of an extended school break has worn off for many kids in Puerto Rico, where classes have been canceled since Hurricane Maria swept across the ...",2017-10-18
"5195","TIME","President Trump's Tweets About Puerto Rico, Military Families Rank ...","But several tweets in September and October about Puerto Rico, military families, an Alabama Senate race and his relationship with Secretary of State Rex ...",2017-10-18
"5196","Common Dreams","Despite Puerto Rico Disaster, Vulture Firms Relentlessly Seeking ...","As Puerto Rico continues its struggle to manage $95 billion in Hurricane Maria-related damage stacked atop its $74 billion of pre-existing debt, investigative ...",2017-10-18
"5197","The New Yorker","Hurricane Maria and Puerto Rico's Neo-Colonial Legacy","Puerto Rico's neo-colonial status is shared with the U.S. Pacific territory of Guam, which, along with Cuba and the Philippines, were the Spanish colonial ...",2017-10-18
"5198","CNN","Puerto Rico's misery, four weeks after Maria, seems like it may never ...","(CNN) The misery never ceases. And for millions of people in Puerto Rico, the future holds little promise of hope. Four weeks after Hurricane Maria laid waste to ...",2017-10-18
"5199","NPR","More Rain In Puerto Rico Brings Misery To Those With Damaged ...","Puerto Rico has had steady rain this week, meaning misery for those whose roofs were damaged or destroyed by Hurricane Maria. Across the island, frustration ...",2017-10-18
"5200","New York Daily News","De Blasio's opponent Nicole Malliotakis seizes on his comments ...","“He acts as if people from Puerto Rico can't come here and also find their own apartment, find a job, assimilate, and I find that to be also offensive,” Nicole ...",2017-10-18
"5201","Jackson Clarion Ledger","State is housing 1200 federal prisoners from Puerto Rico","About 1,200 federal prisoners from Puerto Rico are now housed at the federal correctional facility in Yazoo City. U.S. Court Clerk Arthur Johnston for the ...",2017-10-18
"5202","News & Observer","These NC Baptists haven't forgotten Puerto Rico","Two teams of volunteers with N.C. Baptist Men and Women on Mission Disaster Relief are in Puerto Rico providing fresh drinking water and cutting and clearing ...",2017-10-18
"5203","amNY","Port Authority workers return from Puerto Rico relief efforts with ...","Just days after returning from Puerto Rico, Port Authority staff at Kennedy Airport on Wednesday reflected on the devastation they witnessed, as well as the ...",2017-10-18
"5204","ABC News","Puerto Rico warned power grid 'literally falling apart' before Maria hit","Just 10 months before Maria struck, a scathing report commissioned by the Puerto Rican Electrical Power Authority (PREPA) warned that the energy ...",2017-10-18
"5205","WABI","Puerto Rico governor and Trump to meet at White House","WASHINGTON (AP) -- The White House says President Donald Trump and Puerto Rico Gov. Ricardo Rosello will meet Thursday to discuss the recovery and ...",2017-10-18
"5206","Aurora Sentinel","Aurora coordinating donation drive for Puerto Rican hurricane victims","Nearly a month after Hurricane Maria left Puerto Rico in devastation the island is still in recovery mode and in need of some basic supplies. The widespread ...",2017-10-18
"5207","WPEC","Puerto Rican families still struggle for help and normalcy","PALM BEACH COUNTY, Fla. (CBS 12) — A handful of Puerto Rican families who transferred their children into a Palm Beach County charter school said they ...",2017-10-18
"5208","WTXL ABC 27","Florida colleges offer financial support for displaced students in ...","Conducted a week-long supply drive for Puerto Rico, in collaboration with Florida Hospital and the Florida Conference of the Seventh Day Adventist Church; ...",2017-10-18
"5209","Vox","The unrelenting crisis in Puerto Rico is forcing people to drink dirty ...","If you need evidence that the situation in Puerto Rico is still dire, look no further than the reports this week of islanders who have been forced to turn to water ...",2017-10-18
"5210","New Haven Register","New Haven Junta's welcomes Puerto Rican residents relocating ...","Idalmis Crespo speaks to children on Wednesday, Oct. 18, outside the JUNTA for Progressive Action in New Haven. Crespo arrived from Puerto Rico last month ...",2017-10-18
"5211","Department of Defense","Kentucky Air Guardsmen Process 7.2 Million Pounds of Aid in ...","The Kentucky Air National Guard still has 35 airmen deployed for hurricane recovery operations, including seven who departed for Puerto Rico Oct. 11 to staff a ...",2017-10-18
"5212","AccuWeather.com (blog)","AccuWeather raises $50000 for United Way, adopts town of Patillas ...","Puerto Rico continues to suffer unbelievable tragedies from Hurricane Maria, the Category 4 storm that devastated the island on Sept. 20, one of several major ...",2017-10-18
"5213","Palm Beach Post","Palm Beach County relief effort for Puerto Rico, VI seeks volunteers","Puerto Rico is suffering shortages of food and water in areas after it experienced widespread damage to electrical, gas and water grid as well as agriculture from ...",2017-10-18
"5214","ABC NEWS 4","Gamecocks fan responds to Clemson billboard talk with Puerto Rico ...","But, he said the money will be donated to relief efforts in Puerto Rico. ""While they're crowing over the success of their football team, we'll spend our time ...",2017-10-18
"5215","The Weather Channel","Puerto Ricans Face Major Health Threat from Drinking ...","The EPA says there have been reports of Puerto Ricans drinking water from wells at Superfund sites. Meanwhile, Pres. Trump says the island needs to aid more ...",2017-10-18
"5216","Oxfam America (press release) (blog)","In Puerto Rico, a shortage of tarps and electricity means the misery ...","Wooden houses with thin metal roofs took a terrible beating when Hurricane Maria slammed into Puerto Rico in September. Now mold is beginning to cause a ...",2017-10-18
"5217","Washington Business Journal","Kiddar Capital's Todd Hitt went to Puerto Rico for a relief mission ...","But when he landed in Puerto Rico on a private jet Tuesday, he could feel the impact of Hurricane Maria, he said, likening it to the difference between watching a ...",2017-10-18
"5218","Rock and Ice Magazine (blog)","Puerto Rico: Climbing Our Way Out of Disaster","Puerto Ricans continue to face perils three weeks after Hurricane Maria. The Army Corps of Engineers and the Federal Emergency Management Agency are still ...",2017-10-18
"5219","The Weather Channel","Puerto Rico Students Living in School, but No Classes in Session","Children have been living in campus-turned-shelters in western Puerto Rico since Hurricane Maria flooded their homes, trying to pass the time while their ...",2017-10-18
"5220","wtkr.com","Cigna employees package thousands of meals for Puerto Rico","Cigna employees in Bloomfield planned to work late into the afternoon hours of Tuesday to package thousands of meals for hurricane-ravaged Puerto Rico.",2017-10-18
"5221","ESPN","Monica Puig and Maria Sharapova will head to Puerto Rico next ...","Tennis star Monica Puig has been spearheading efforts to help her native Puerto Rico recover from the devastation after Hurricane Maria. Earlier this month, her ...",2017-10-18
"5222","The Chicago Maroon","Campus Fundraisers Aim to Bring Relief to Puerto Rico","Several efforts are underway on campus to fundraise for relief for Puerto Rico in the aftermath of Hurricane Maria. First-year and newly-elected College Council ...",2017-10-18
"5223","ReliefWeb","Puerto Rico and Federal Partners Unite to Address Power ...","Over the next several months, the Puerto Rico Electric Power Authority (PREPA), United States Army Corps of Engineers (USACE), the Department of Energy, ...",2017-10-18
"5224","WTHR","23 dogs from Puerto Rico now call Indy home","INDIANAPOLIS (WTHR) - Nearly two dozen of dogs from hurricane-ravaged Puerto Rico are now in Indianapolis. The dogs were taken in by Indy Humane as ...",2017-10-18
"5225","MyCentralJersey.com","NJ nurse found many severe needs in Puerto Rico","FANWOOD - Registered nurse Dawn Shourt left post-hurricane Puerto Rico with a heavy heart after a one-week trip going door to door looking to help survivors ...",2017-10-18
"5226","Vibe","Yankees Legend Jorge Posada Charters Plane For The Fifth Time ...","Plenty of aid has been issued to Puerto Rico by celebrities. One celeb in particular used his influence to not only bring relief to the ravished island, but to also ...",2017-10-18
"5227","MDJOnline.com","AROUND TOWN: Karen Handel talks Iran, Puerto Rico, KSU ...","Handel said FEMA is on the ground and she regularly speaks with Puerto Rico's congresswoman, U.S. Rep. Jenniffer González-Colón, R-Puerto Rico.",2017-10-18
"5228","Los Angeles Times","Jennifer Lopez, Marc Anthony and Alex Rodriguez raise $35 million ...","Finally, some good news for Puerto Rico as it continues to recover from the devastation wrought by Hurricane Maria last month. Entertainment superstar Jennifer ...",2017-10-18
"5229","The Atlantic","Puerto Rico's Environmental Catastrophe","She scoffed at the radio reports of the official death toll, a common refrain among Puerto Ricans whose personal stories—a cousin who died needing dialysis ...",2017-10-18
"5230","E! Online","Jennifer Lopez and Alex Rodriguez Personally Raised $26 Million ...","Lopez, who was appointed a co-chair of the Empire STate Relief and Recovery Effort for Puerto Rico launched by New York Governor Andrew Cuomo, and ...",2017-10-18
"5231","Cherry Hill Courier Post","Supply drive to benefit Puerto Rico relief efforts","Three South Jersey state legislators are sponsoring a supply drive to assist Puerto Ricans affected by the devastation and aftermath of Hurricane Maria. Millions ...",2017-10-18
"5232","TradeWinds","Seacor adding vessels to aid Puerto Rico","Seacor Holdings is boosting Jones Act shipping capacity between the US mainland and Puerto Rico as part of the island territory's recovery from Hurricane ...",2017-10-18
"5233","TIME","FEMA Chief Blamed for Katrina Response Says the Same Problems ...","But he said that the unified command center in Puerto Rico was ineffective at coordinating and managing resources, as some local officials would not or could ...",2017-10-18
"5234","CNN","About 1 million Americans without running water. 3 million without ...","Puerto Rico (CNN) After Hurricane Maria toppled the bridge that connects him to the rest of civilization and ripped the roof and walls off his house here in the ...",2017-10-18
"5235","Nanaimo News NOW (press release) (blog)","Puerto Rico youth stranded with school still out from storm","HATILLO, Puerto Rico — Alanys Arroyo and her little brothers have been cooped up in a school for weeks, but they aren't in class. They've been living in a ...",2017-10-18
"5236","Arizona Daily Star","Puerto Rico mayor delivers food and finds desperation","Three members of his community perished when Hurricane Maria smashed into Puerto Rico on September 20 and Garcia says another 12 died in the chaotic ...",2017-10-18
"5237","CNN","On a storm-hit hillside, Puerto Ricans begin to fight back","Aguas Buenas, Puerto Rico (CNN) When I first met Diana Aponte, she had just lived through Hurricane Maria. She'd spent part of the storm huddled on the floor ...",2017-10-18
"5238","UrbanDaddy","A Puerto Rico Benefit With Some Notable Names Involved","Next Monday, some of your favorite bars will be joining forces for a massive Puerto Rico benefit on the Upper West Side. And while you don't need very many ...",2017-10-18
"5239","The News","FGCU offers lower tuition rate for college students in Puerto Rico ...","College students in Puerto Rico and the U.S. Virgin Islands can attend Florida Gulf Coast University and pay the same tuition rate as in-state students, starting in ...",2017-10-18
"5240","Nonprofit Quarterly (blog)","Seeing Florida, Texas, and Puerto Rico in Shades of Black and White","However, the US commitment to Puerto Rico has sounded very different. Rep. Scott Perry (R-PA) said of Puerto Rico, “There's only so much the US can do to ...",2017-10-18
"5241","Current","After Hurricane Maria, Puerto Rico university shuts down PBS station","Puerto Rico's PBS affiliate is off the air indefinitely after its university licensee decided to end activities not directly related to academics, according to the island ...",2017-10-18
"5242","kcentv.com","Fundraising Festival for Puerto Rico and Mexico will take the funds ...","Killeen will hold a Fundraising Festival on October 21 for the people of Puerto Rico and Mexico. All proceeds from the event will go towards the country's ...",2017-10-18
"5243","Santa Rosa Press Democrat","Jennifer Lopez, Marc Anthony, Alex Rodriguez raise $35 million for ...","NEW YORK — Jennifer Lopez, her ex-husband Marc Anthony and her current boyfriend Alex Rodriguez have raised more than $35 million for Puerto Rico ...",2017-10-18
"5244","Business Wire (press release)","Puerto Rican Insurance Industry Governance, Risk and Compliance ...","The 'Governance, Risk and Compliance - The Puerto Rican Insurance Industry' report is the result of extensive research into the insurance regulatory framework ...",2017-10-18
"5245","The Weather Channel","As Health Crisis Looms in Puerto Rico, Navy Hospital Ship Sits ...","It was viewed as a saving grace for a developing health crisis in the wake of Hurricane Maria: the USNS Comfort was heading to Puerto Rico to provide ...",2017-10-18
"5246","KWIT","Puerto Rico: Long live Mami and mango tree","Denise Lopez's husband (on left) catches mangos from the tree near his mother's home outside of Yabucoa, Puerto Rico. Hurricane Maria stripped the mango ...",2017-10-18
"5247","RealClearPolitics","A Flag-Raising in Puerto Rico -- and a Call to Duty","On this date in 1898, the U.S. flag was raised in an official ceremony over government buildings in the Puerto Rican capital of San Juan. If that sounds vaguely ...",2017-10-18
"5248","GazetteNET","In Puerto Rico, 'The need is everywhere'","Melany Mendoza, her husband Jeff Mackler, and their son Diego Mendoza-Mackler, are collecting supplies to send to Puerto Rico. SUBMITTED PHOTO.",2017-10-18
"5249","GazetteNET","Police chiefs upset over snafu in Puerto Rico","Easthampton Police Officer Luis Rivera was one of seven officers from Massachusetts whose two-week mission to provide relief in Puerto Rico in the wake of ...",2017-10-18
"5250","CBS Chicago","Gutierrez Returning To Puerto Rico To Send Hurricane Relief ...","CHICAGO (CBS) — Congressman Luis Gutierrez was on his way back to Puerto Rico on Wednesday, on his second relief trip after Hurricane Maria, bringing ...",2017-10-18
"5251","Democracy Now! (blog)","Rosa Clemente on Puerto Ricans Drinking Toxic Water & San Juan ...","In Puerto Rico, residents desperate for drinking water have begun pumping water from the Dorado Groundwater Contamination Site—a hazardous waste ...",2017-10-18
"5252","Democracy Now! (blog)","As Puerto Rico Faces $95 Billion Cleanup, Exposé Reveals Vulture ...","reporter with the Center for Investigative Journalism, based in Puerto Rico, an award-winning independent media outlet that marks its 10th anniversary this year.",2017-10-18
"5253","ARRL","“Force of 50” Volunteers' Puerto Rico Hurricane Recovery Mission ...","The 22 “Force of 50” radio amateurs who deployed to Puerto Rico earlier this month as American Red Cross volunteers have ended their mission and will be ...",2017-10-18
"5254","Grub Street","Chef José Andrés Has Now Fed More Than 1 Million People in ...","Chef José Andrés and his World Central Kitchen team have passed along word that their tireless Puerto Rico recovery efforts have crossed an impressive new ...",2017-10-18
"5255","CBS DFW","J. Lo & A-Rod Raise $26 Million For Puerto Rico Disaster Relief","NEW YORK (AP) – Jennifer Lopez and Alex Rodriguez have raised $26 million for Puerto Rico disaster relief, with another $9 million raised by a benefit show.",2017-10-18
"5256","Skift","Puerto Rico Convention Bureau CEO Is Focusing on 2018 After ...","The Puerto Rico Convention Bureau is actively selling for 2018 meetings and conventions despite the fallout from Hurricane Maria, but with the rebuilding efforts, ...",2017-10-18
"5257","KABC","Puerto Rico's cash crisis: 35% of banks still closed","More than a third of the banks in Puerto Rico are still closed a month after ... For weeks, Puerto Ricans have been waiting in long lines to get cash, food, water ...",2017-10-18
"5258","nwitimes.com","Brothers bring family recipes to new Puerto Rican restaurant in ...","The restaurant features Puerto Rican food from family recipes. ... the form of food, to the Region by recently opening Da Portable Rican here in the Portage Mall.",2017-10-18
"5259","WCYB","A month after hurricane, only half of Puerto Rico's banks are open","NEW YORK (CNNMoney) - Half the banks in Puerto Rico are still closed, almost a month after Hurricane Maria. For weeks, Puerto Ricans have been waiting in ...",2017-10-18
"5260","Southgate News Herald","Pontiac firefighter reunites families in Puerto Rico, how to help those ...","The Waterford regional firefighter of 14-years spent a week in Puerto Rico, reuniting families over the internet, delivering much needed supplies to those without ...",2017-10-18
"5261","Charlotte Observer","Donors stuff warehouse with aid for Puerto Rico. Now planes are ...","Donors have filled a Concord warehouse with supplies for Puerto Rico, according to a Charlotte-area relief effort that sprang up in response to Hurricane Maria's ...",2017-10-18
"5262","CBS Chicago","Congressman Gutierrez Makes Second Relief Trip To Puerto Rico","Congressman Gutierrez Makes Second Relief Trip To Puerto Rico. U.S. Rep. Luis Gutierrez was flying back to Puerto Rico on Wednesday, for his second relief ...",2017-10-18
"5263","United States Army (press release)","Neighbors helping neighbors: Army National Guard Soldiers ...","SAN JUAN, Puerto Rico -- In the western part of Puerto Rico, near the coastal towns of Aguadilla, Isabela, and Quebradillas, water treatment specialists from the ...",2017-10-18
"5264","Billboard","Lin-Manuel Miranda Talks Helping Puerto Rico & Notching First Top ...","Billboard caught up with Miranda on the red carpet prior to the star-studded event where he continued to advocate for the people of Puerto Rico as he has since ...",2017-10-18
"5265","4029tv","Local relief group holds fundraiser to help Puerto Rico","Local group, NWA Puerto Rico Relief is holding a fundraiser at the Gusano's Pizzeria in Bentonville to raise money for island of Puerto Rico. Gusano's has ...",2017-10-18
"5266","Deseret News","In our opinion: Keep Puerto Rico's humanitarian crisis separate from ...","The Trump administration says it won't remove first responders from hurricane-beleaguered Puerto Rico until the people of the island have recovered enough to ...",2017-10-18
"5267","Milwaukee Journal Sentinel","Latin jazz legend Palmieri coming to Milwaukee for Mexico, Puerto ...","Latin jazz legend Palmieri coming to Milwaukee for Mexico, Puerto Rico relief ... music to Milwaukee Oct. 28 for a benefit concert for Mexico and Puerto Rico.",2017-10-18
"5268","WLRN","Can Hurricane-Ravaged Puerto Rico's Most Vulnerable Make It Until ...","RIO PIEDRAS – Puerto Rico's government says power should be fully restored to the island by mid-December. But that's three months after Hurricane Maria ...",2017-10-18
"5269","Yale Climate Connections","A more climate-resilient Puerto Rico?","Along with addressing acute crises facing Puerto Rico as a result of Hurricane Maria damages, talk emerges about rethinking its electrical system going forward.",2017-10-18
"5270","New York's PIX11 / WPIX","Exclusive: Sick Puerto Ricans flown to mainland by Yankees legend ...","PUERTO RICO — Families reunited with their loved ones who were impacted by the devastating Hurricane Maria with the help of Yankees legend Jorge Posada ...",2017-10-18
"5271","NBCNews.com","Leonor Ayala PolleyMy Mom Wasn't Safe in Post-Maria Puerto Rico ...","Imagine then that you, like me, are Puerto Rican and part of the diaspora of people on the mainland United States who watched the island brought to its knees; ...",2017-10-18
"5272","New Republic","Trump's Dangerous Spin on Puerto Rico's Suffering","The administration's P.R. response to the island's crisis has been nothing short of a communications debacle—and it's hurting the recovery.",2017-10-18
"5273","News965","Puerto Rican family struggles for temporary Orlando housing","ORLANDO, Fla. - A family from Humacao, Puerto Rico sat in a borrowed truck in the parking lot outside a FEMA disaster assistance center in Orlando Tuesday, ...",2017-10-18
"5274","Politico","Why Washington should finally make Puerto Rico a state","Weeks after Hurricane Maria struck Puerto Rico, the island remains in crisis. Eighty three percent of people in Puerto Rico don't have power and thirty five ...",2017-10-18
"5275","Asbury Park Press","Can Bayshore inventor solve Puerto Rico's water crisis?","“We volunteered this machine to go to Puerto Rico tomorrow,” McGinley said. At the week's start, nearly a third of the hurricane-stricken island's population ...",2017-10-18
"5276","Press Herald","Another View: Trump's remarks on Puerto Rico went beyond the pale","“Electric and all infrastructure (in Puerto Rico) was disaster before hurricanes,” he tweeted. “We cannot keep FEMA, the Military & the First Responders, who ...",2017-10-18
"5277","KOBI","Grants Pass man safely returns from Puerto Rico","Only after the storm had passed did Edie realize how dangerous his situation was. When he emerged from the storm, unharmed, he saw the overwhelming ...",2017-10-18
"5278","Bradenton Herald","She was 92, stranded in Puerto Rico nursing home. Her rescue: an ...","Nearly a month after Hurricane Maria wiped out most of Puerto Rico's electricity and cellular service, Uber has emerged as an app-based barometer for the most ...",2017-10-19
"5279","wtkr.com","War veterans deploy themselves to help Puerto Rico relief","The cavalry is here, at an abandoned airport in the far west of Puerto Rico. Not a traditional military unit, but a bunch of guys who call themselves the Warfighter ...",2017-10-19
"5280","Bradenton Herald","Florida company sends giant generators to Puerto Rico to restore ...","Power is on the way for hurricane-ravaged Puerto Rico in the form of two giant fuel-powered generators. APR Energy, a Jacksonville-based firm, has shipped ...",2017-10-19
"5281","Bradenton Herald","A month after Maria, Puerto Rico's mountainous heartland braces for ...","Puerto Rico's heartland has always felt like a world apart. It's a region of fog-shrouded mountains and icy streams — far removed from the sun, sand and surf ...",2017-10-19
"5282","Washington Post","Trump can't stop complaining about Puerto Rico. And it shows in his ...","President Trump's approach to Puerto Rico since Hurricane Maria has been coherently inhumane. He has called some Puerto Rican leaders “politically ...",2017-10-19
"5283","WBUR","Puerto Rican Couple Brings Baby To Boston For Life-Saving Care","A Puerto Rico couple has made it to Boston in the wake of Hurricane Maria to save their baby's life. The couple is staying with an American family in Brookline as ...",2017-10-19
"5284","GreenBiz","We can achieve an energy reset in Puerto Rico","Two of the largest hurricanes in recorded history hit Puerto Rico, the U.S. Virgin Islands, and other Caribbean islands within 10 days of each other. The cause is ...",2017-10-19
"5285","FOX 61","Connecticut State Colleges and Universities vote on plan helping ...","HARTFORD — A plan to admit displaced Puerto Rican students from the latest hurricanes to Connecticut colleges takes another step forward as a vote is ...",2017-10-19
"5286","NPR","Weeks After Maria, FEMA Still Distributing Basic Needs To Puerto Rico","Steve Inskeep talks to FEMA coordinator Michael Byrne about the recovery effort in Puerto Rico as its governor prepares to meet with President Trump.",2017-10-19
